"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0010594","GO:0010594","regulation of endothelial cell migration","24/622","232/18614",9.9860254800138e-07,4.82794748009681e-05,3.86149508014892e-05,"94/51378/84913/153090/54567/2247/2324/3791/9314/4223/79812/4846/8829/8613/5764/5797/57381/23328/9037/9353/6915/6997/7010/7424",24
"GO:0007264","GO:0007264","small GTPase mediated signal transduction","38/622","483/18614",1.0031258169102e-06,4.82794748009681e-05,3.86149508014892e-05,"117/150/57569/57636/83478/395/22899/153090/9077/10395/57572/55715/220164/2149/2151/9002/152273/2247/2843/2828/57493/3479/2846/4803/4804/8829/157285/80243/54922/5649/57381/58480/10044/9353/10252/10253/81848/9754",38
"GO:0003206","GO:0003206","cardiac chamber morphogenesis","17/622","126/18614",1.01547966605103e-06,4.83541168643021e-05,3.86746511113051e-05,"9510/187/54567/2022/2931/57493/23462/182/4846/4887/8829/9353/6586/6909/7010/7048/7049",17
"GO:0040013","GO:0040013","negative regulation of locomotion","35/622","427/18614",1.05778846969672e-06,4.9838538845921e-05,3.98619233843604e-05,"94/51378/347/482/56477/4856/4345/149461/7122/114757/153090/10395/54567/1843/2022/2247/3036/90865/182/9314/79772/4223/79812/4739/4804/8829/5797/56920/9037/57556/10501/9353/6915/7075/63923",35
"GO:0061337","GO:0061337","cardiac conduction","15/622","101/18614",1.27375436838951e-06,5.93887974261609e-05,4.75004233211922e-05,"10060/287/477/482/775/8913/781/845/857/30845/10052/6327/6330/6547/7220",15
"GO:0030857","GO:0030857","negative regulation of epithelial cell differentiation","11/622","54/18614",1.3755002818915e-06,6.30947667576699e-05,5.04645364147583e-05,"94/857/28514/2487/9573/3397/182/4855/10252/10253/8626",11
"GO:0035150","GO:0035150","regulation of tube size","18/622","143/18614",1.38143144375595e-06,6.30947667576699e-05,5.04645364147583e-05,"150/477/552/554/857/1908/1910/2149/3043/3357/3363/3672/10365/4846/4881/5021/6915/7484",18
"GO:0070588","GO:0070588","calcium ion transmembrane transport","31/622","360/18614",1.56820888048202e-06,7.08427810354408e-05,5.6661563026559e-05,"117/150/287/187/477/9478/57685/775/8913/781/845/857/1910/30845/2149/9002/2247/2669/57165/3357/286097/5311/11280/6332/29927/6547/6622/7220/7222/7223/7225",31
"GO:0007266","GO:0007266","Rho protein signal transduction","17/622","130/18614",1.58272522420556e-06,7.08427810354408e-05,5.6661563026559e-05,"150/395/10395/2149/2151/9002/2843/2828/57493/2846/4804/8829/157285/54922/57381/58480/9754",17
"GO:0048762","GO:0048762","mesenchymal cell differentiation","25/622","255/18614",1.61127924318231e-06,7.14067910146931e-05,5.71126702038877e-05,"8854/153090/1908/1910/2022/2042/2487/23462/3082/3357/3479/54756/182/4487/4855/8829/56920/9037/57556/10501/10252/10253/7048/7049/7148",25
"GO:0090287","GO:0090287","regulation of cellular response to growth factor stimulus","30/622","345/18614",1.89042286317807e-06,8.29562032900494e-05,6.63501357860538e-05,"94/857/1003/1028/153090/28514/2022/2247/8322/9573/64388/54756/8516/3791/8425/79812/4487/4804/8829/63976/57556/9353/10252/10253/81848/7049/7148/7424/9839/23090",30
"GO:0034765","GO:0034765","regulation of monoatomic ion transmembrane transport","37/622","478/18614",2.04583177697184e-06,8.89043012983102e-05,7.11075510830989e-05,"5243/10060/117/150/287/187/477/482/9478/775/8913/781/845/857/1908/30845/2149/9002/2669/57165/57520/3736/3764/3788/54413/5311/5649/11280/6327/6330/6332/85358/6622/54997/7220/7222/7225",37
"GO:0030168","GO:0030168","platelet activation","17/622","133/18614",2.18124684429396e-06,9.38775084140362e-05,7.50852279093497e-05,"170692/150/388552/1465/1511/2149/2151/9002/2623/3043/22915/4846/5154/375033/6403/7056/7450",17
"GO:0010959","GO:0010959","regulation of metal ion transport","34/622","423/18614",2.33235467362045e-06,9.94249478011916e-05,7.95221879196305e-05,"10060/117/150/287/187/477/482/9478/775/781/845/857/1908/30845/2149/9002/2669/57165/57520/3736/3788/154215/4846/5187/5311/5957/6327/6330/6622/54997/7220/7222/7225/7432",34
"GO:0031644","GO:0031644","regulation of nervous system process","18/622","150/18614",2.77465027528749e-06,0.000116316349683142,9.30322904078754e-05,"552/4856/1910/1959/2149/3082/90865/58494/11343/54413/4846/9379/58503/5649/11280/85358/6547/7432",18
"GO:0018108","GO:0018108","peptidyl-tyrosine phosphorylation","31/622","370/18614",2.78057404291695e-06,0.000116316349683142,9.30322904078754e-05,"150/51378/660/857/2202/5168/2042/2252/2321/2324/2623/2690/3082/3479/3481/3791/4038/4739/8829/5154/80310/79834/5175/91461/8613/5649/6997/7010/7060/7075/85480",31
"GO:0048010","GO:0048010","vascular endothelial growth factor receptor signaling pathway","11/622","58/18614",2.89829592174533e-06,0.000120118264312334,9.60731425911877e-05,"161198/153090/2321/2324/8322/3791/79812/8829/5228/7424/2277",11
"GO:0050920","GO:0050920","regulation of chemotaxis","23/622","230/18614",2.99275919282063e-06,0.000122588295312262,9.80487259199951e-05,"4856/1843/1908/1948/2152/2247/83700/3791/4739/4858/8829/80310/5228/5764/1901/56920/9037/57556/10501/9353/7060/7424/2277",23
"GO:0003205","GO:0003205","cardiac chamber development","19/622","166/18614",3.01267034949706e-06,0.000122588295312262,9.80487259199951e-05,"9510/287/187/54567/2022/2931/57493/23462/182/4846/4887/8829/5138/9353/6586/6909/7010/7048/7049",19
"GO:0018212","GO:0018212","peptidyl-tyrosine modification","31/622","372/18614",3.10870014208236e-06,0.000125356232756402,0.000100262581159053,"150/51378/660/857/2202/5168/2042/2252/2321/2324/2623/2690/3082/3479/3481/3791/4038/4739/8829/5154/80310/79834/5175/91461/8613/5649/6997/7010/7060/7075/85480",31
"GO:0003180","GO:0003180","aortic valve morphogenesis","9/622","38/18614",3.35520438265393e-06,0.000134088346578205,0.000107246711516974,"11096/54567/23462/182/4846/9353/6586/7048/7075",9
"GO:0034764","GO:0034764","positive regulation of transmembrane transport","23/622","235/18614",4.30517131744935e-06,0.000170530502804454,0.00013639392315459,"5243/117/287/187/482/781/857/1908/30845/2149/9002/57165/3479/3736/54413/5311/5649/85358/6622/54997/7220/7222/7225",23
"GO:0051302","GO:0051302","regulation of cell division","20/622","187/18614",4.7610393472283e-06,0.000186933439633279,0.000149513340904187,"28514/2247/2252/3357/3481/90293/117194/4674/5154/80310/5228/5764/64321/6886/7060/8626/10628/7424/2277/7484",20
"GO:0086012","GO:0086012","membrane depolarization during cardiac muscle cell action potential","7/622","22/18614",4.95086345869101e-06,0.000191852405635842,0.000153447634534476,"287/477/775/8913/781/6327/6330",7
"GO:0003170","GO:0003170","heart valve development","12/622","73/18614",4.972046258659e-06,0.000191852405635842,0.000153447634534476,"11096/187/8642/54567/23462/182/4846/5138/9353/6586/7048/7075",12
"GO:0003014","GO:0003014","renal system process","16/622","127/18614",5.22788776448093e-06,0.000199488972846569,0.000159555523411689,"9429/221395/358/552/554/947/10391/1910/2149/2934/3043/26249/4162/4881/5125/11280",16
"GO:0048754","GO:0048754","branching morphogenesis of an epithelial tube","18/622","157/18614",5.33226720021951e-06,0.000199488972846569,0.000159555523411689,"8642/54567/2022/2247/2736/3202/3791/4855/8829/5311/54922/9353/10252/10253/6909/7048/7075/7484",18
"GO:0044344","GO:0044344","cellular response to fibroblast growth factor stimulus","15/622","113/18614",5.35463909305493e-06,0.000199488972846569,0.000159555523411689,"54567/1960/2247/2252/23768/3373/9365/4804/3164/10252/10253/81848/6909/6997/7538",15
"GO:0035296","GO:0035296","regulation of tube diameter","17/622","142/18614",5.39279841698725e-06,0.000199488972846569,0.000159555523411689,"150/477/552/554/857/1908/1910/2149/3043/3357/3363/3672/10365/4846/4881/5021/6915",17
"GO:0097746","GO:0097746","blood vessel diameter maintenance","17/622","142/18614",5.39279841698725e-06,0.000199488972846569,0.000159555523411689,"150/477/552/554/857/1908/1910/2149/3043/3357/3363/3672/10365/4846/4881/5021/6915",17
"GO:0050818","GO:0050818","regulation of coagulation","12/622","75/18614",6.64762792521177e-06,0.000243891660600393,0.000195069737477526,"170692/857/947/2149/2152/4846/5154/10544/5627/6915/7035/7056",12
"GO:0048562","GO:0048562","embryonic organ morphogenesis","26/622","294/18614",6.73411032774402e-06,0.000245055917292539,0.000196000934742468,"60529/187/64072/28514/2202/2022/2487/2735/3199/3200/3201/3202/3236/3232/3235/3373/8516/4487/5311/64321/54345/10253/6913/6909/7048/7484",26
"GO:0007411","GO:0007411","axon guidance","22/622","225/18614",7.03774961416963e-06,0.000252007738184186,0.000201561148949818,"10752/1908/1948/1949/1959/2042/23768/2736/256158/3199/4804/4858/8829/5797/5649/54538/56920/9037/57556/10501/9353/6586",22
"GO:0097485","GO:0097485","neuron projection guidance","22/622","225/18614",7.03774961416963e-06,0.000252007738184186,0.000201561148949818,"10752/1908/1948/1949/1959/2042/23768/2736/256158/3199/4804/4858/8829/5797/5649/54538/56920/9037/57556/10501/9353/6586",22
"GO:0010634","GO:0010634","positive regulation of epithelial cell migration","19/622","176/18614",7.14851281230014e-06,0.000253942407522662,0.000203108538635195,"51378/84913/5168/2247/2252/2324/3373/3725/3791/4846/8829/8613/57381/23328/9037/6997/7010/7048/7424",19
"GO:0007409","GO:0007409","axonogenesis","33/622","427/18614",7.54420145852078e-06,0.000264514365023581,0.00021156421509929,"886/10752/85458/1908/1948/1949/1959/2042/23768/2736/256158/3199/57611/4038/57689/4131/4803/4804/54413/4858/8829/9890/5797/5649/54538/11280/56920/9037/57556/10501/9353/6586/63923",33
"GO:0086003","GO:0086003","cardiac muscle cell contraction","12/622","76/18614",7.6575455764448e-06,0.000264514365023581,0.00021156421509929,"10060/287/477/775/8913/781/857/10052/2934/3764/6327/6330",12
"GO:0010644","GO:0010644","cell communication by electrical coupling","8/622","32/18614",7.68249943097979e-06,0.000264514365023581,0.00021156421509929,"477/482/775/845/857/10052/57165/3736",8
"GO:0061384","GO:0061384","heart trabecula morphogenesis","8/622","32/18614",7.68249943097979e-06,0.000264514365023581,0.00021156421509929,"9510/54567/2022/57493/23462/1901/7010/7049",8
"GO:0050918","GO:0050918","positive chemotaxis","11/622","64/18614",7.89301383771938e-06,0.000269688014791083,0.000215702210221644,"2152/2247/2252/3082/3791/8829/5228/1901/9037/7424/2277",11
"GO:0060562","GO:0060562","epithelial tube morphogenesis","28/622","334/18614",8.30214598079395e-06,0.000281518222803286,0.000225164262206381,"94/187/8642/10395/28514/54567/1948/2022/2247/2736/3202/3791/26249/79812/4855/8829/5311/54922/9353/64321/54345/6692/10252/10253/6909/7048/7075/7484",28
"GO:0051962","GO:0051962","positive regulation of nervous system development","25/622","280/18614",8.54697606232464e-06,0.000287641089135076,0.000230061460925731,"85458/1959/2247/23768/8322/2670/57165/90865/57611/94030/57633/54674/4131/4803/54413/8829/5021/5764/5649/9037/85358/9353/6692/8128/7424",25
"GO:0035907","GO:0035907","dorsal aorta development","5/622","10/18614",8.98754351432642e-06,0.000300210781866605,0.000240114968517079,"94/54567/2022/23462/4804",5
"GO:0003176","GO:0003176","aortic valve development","9/622","43/18614",9.99854375924243e-06,0.000329799501254899,0.000263780655606018,"11096/54567/23462/182/4846/9353/6586/7048/7075",9
"GO:0030336","GO:0030336","negative regulation of cell migration","30/622","375/18614",1.00207176431337e-05,0.000329799501254899,0.000263780655606018,"94/51378/347/482/56477/4856/4345/149461/7122/114757/153090/10395/54567/1843/2022/2247/3036/90865/182/9314/79772/4223/79812/4739/4804/5797/9353/6915/7075/63923",30
"GO:0071774","GO:0071774","response to fibroblast growth factor","15/622","120/18614",1.1283896255669e-05,0.000368662187156019,0.000294863858359819,"54567/1960/2247/2252/23768/3373/9365/4804/3164/10252/10253/81848/6909/6997/7538",15
"GO:0009612","GO:0009612","response to mechanical stimulus","21/622","215/18614",1.15065112021876e-05,0.000371559732157513,0.00029718137647987,"26090/358/477/2022/2247/2353/2354/2934/90865/3725/3736/4131/4212/9379/5138/5311/5764/11280/85358/7048/10628",21
"GO:0042310","GO:0042310","vasoconstriction","12/622","79/18614",1.15386065169558e-05,0.000371559732157513,0.00029718137647987,"150/477/552/554/857/1908/1910/2149/3357/3363/5021/6915",12
"GO:0001991","GO:0001991","regulation of systemic arterial blood pressure by circulatory renin-angiotensin","6/622","17/18614",1.22748162159351e-05,0.000392443409875183,0.000313884586093198,"1215/1359/1511/1910/2149/5125",6
"GO:0009954","GO:0009954","proximal/distal pattern formation","8/622","34/18614",1.25011250185228e-05,0.000394712580855675,0.000315699517306371,"8854/28514/2735/2736/3236/3235/4038/8626",8
"GO:0051781","GO:0051781","positive regulation of cell division","13/622","93/18614",1.27488130536968e-05,0.000394712580855675,0.000315699517306371,"2247/2252/3357/3481/117194/5154/80310/5228/5764/6886/7060/7424/2277",13
"GO:1904427","GO:1904427","positive regulation of calcium ion transmembrane transport","13/622","93/18614",1.27488130536968e-05,0.000394712580855675,0.000315699517306371,"117/287/187/781/857/30845/2149/9002/57165/5311/6622/7220/7222",13
"GO:0003081","GO:0003081","regulation of systemic arterial blood pressure by renin-angiotensin","7/622","25/18614",1.27867122931351e-05,0.000394712580855675,0.000315699517306371,"1215/1359/1511/1910/2149/5125/6196",7
"GO:0086010","GO:0086010","membrane depolarization during action potential","7/622","25/18614",1.27867122931351e-05,0.000394712580855675,0.000315699517306371,"287/477/775/8913/781/6327/6330",7
"GO:0003279","GO:0003279","cardiac septum development","14/622","107/18614",1.29812726722978e-05,0.000397973811515102,0.000318307918950864,"287/187/2022/57493/23462/182/4846/8829/5138/9353/6586/6909/7048/7049",14
"GO:1904064","GO:1904064","positive regulation of cation transmembrane transport","17/622","152/18614",1.34775119187152e-05,0.000410376485361696,0.000328227841285718,"117/287/187/482/781/857/1908/30845/2149/9002/57165/3736/5311/6622/54997/7220/7222",17
"GO:0046578","GO:0046578","regulation of Ras protein signal transduction","19/622","184/18614",1.35809414536914e-05,0.000410731715856235,0.000328511962190644,"83478/153090/10395/2149/2151/9002/2843/2828/57493/3479/2846/4803/8829/157285/54922/10252/10253/81848/9754",19
"GO:0090100","GO:0090100","positive regulation of transmembrane receptor protein serine/threonine kinase signaling pathway","15/622","122/18614",1.38106190766297e-05,0.000414874704610701,0.000331825612713653,"92/94/1003/1028/2022/2662/9573/8516/3791/4487/7048/7049/7148/9839/23090",15
"GO:0097553","GO:0097553","calcium ion transmembrane import into cytosol","20/622","201/18614",1.40861570626323e-05,0.000420330926748949,0.000336189615228159,"117/287/187/477/775/8913/781/845/857/2149/9002/2247/3357/5311/11280/6332/6547/6622/7220/7222",20
"GO:0007179","GO:0007179","transforming growth factor beta receptor signaling pathway","21/622","218/18614",1.42241156807596e-05,0.000421636700576689,0.000337234000908076,"94/857/1003/1028/7122/2022/2353/2662/3397/54756/8516/3725/8425/63976/4093/10252/10253/7048/7049/7148/9839",21
"GO:0051057","GO:0051057","positive regulation of small GTPase mediated signal transduction","11/622","68/18614",1.44188978294866e-05,0.000424598596610409,0.000339602988352383,"117/2149/2151/9002/2843/2828/3479/2846/4803/157285/5649",11
"GO:0022898","GO:0022898","regulation of transmembrane transporter activity","25/622","289/18614",1.47428208362905e-05,0.000431299778191085,0.000344962735907973,"5243/10060/150/287/477/482/9478/781/845/857/1393/30845/2669/57520/3736/3788/54413/5311/5649/6327/6330/85358/6622/54997/7225",25
"GO:0035633","GO:0035633","maintenance of blood-brain barrier","8/622","35/18614",1.57341897193915e-05,0.000453936223349296,0.000363067846199839,"1003/7122/90952/58494/83700/3908/51599/5175",8
"GO:0055074","GO:0055074","calcium ion homeostasis","27/622","327/18614",1.57709377401756e-05,0.000453936223349296,0.000363067846199839,"287/187/477/775/845/857/6358/64072/1003/1908/2149/9002/2247/7184/3357/3791/9365/286097/5311/6547/6622/284612/130733/7220/7222/7223/7225",27
"GO:1903169","GO:1903169","regulation of calcium ion transmembrane transport","19/622","186/18614",1.58435727414213e-05,0.000453936223349296,0.000363067846199839,"117/150/287/187/477/9478/775/781/845/857/30845/2149/9002/2669/57165/5311/6622/7220/7222",19
"GO:1904062","GO:1904062","regulation of monoatomic cation transmembrane transport","28/622","346/18614",1.5970268389041e-05,0.000453936223349296,0.000363067846199839,"10060/117/150/287/187/477/482/9478/775/781/845/857/1908/30845/2149/9002/2669/57165/57520/3736/3788/5311/6327/6330/6622/54997/7220/7222",28
"GO:0043084","GO:0043084","penile erection","5/622","11/18614",1.60236647205516e-05,0.000453936223349296,0.000363067846199839,"92/552/1910/5021/7432",5
"GO:1903034","GO:1903034","regulation of response to wounding","18/622","170/18614",1.61740679246148e-05,0.000455315270632552,0.00036417083754793,"170692/150/857/947/149461/2149/2152/2247/9314/22915/4846/5154/5627/5764/8578/6915/7035/7056",18
"GO:0090090","GO:0090090","negative regulation of canonical Wnt signaling pathway","16/622","139/18614",1.67283500726398e-05,0.000467975593282098,0.000374296832875315,"857/153090/27123/1958/2308/2487/2735/2931/3489/4038/85407/5071/27303/64321/92162/63923",16
"GO:0072132","GO:0072132","mesenchyme morphogenesis","10/622","57/18614",1.6897416727576e-05,0.000469769175606397,0.000375731378165975,"94/11096/187/8642/2022/23462/4487/4846/6909/7048",10
"GO:0001946","GO:0001946","lymphangiogenesis","6/622","18/18614",1.78931068083439e-05,0.000491346908430351,0.00039298970781516,"94/161198/2324/54345/7075/7424",6
"GO:0043116","GO:0043116","negative regulation of vascular permeability","6/622","18/18614",1.78931068083439e-05,0.000491346908430351,0.00039298970781516,"9590/7122/5138/5139/10266/9353",6
"GO:0030193","GO:0030193","regulation of blood coagulation","11/622","70/18614",1.9158049633848e-05,0.00052107816021791,0.000416769395348552,"170692/857/947/2149/2152/4846/5154/5627/6915/7035/7056",11
"GO:0060326","GO:0060326","cell chemotaxis","26/622","312/18614",1.92412416257887e-05,0.00052107816021791,0.000416769395348552,"6358/56477/4856/1511/1843/1908/1910/1960/2247/2321/3082/3672/83700/3791/4739/3164/8829/80310/5228/5764/1901/9037/9353/7060/7424/2277",26
"GO:0035023","GO:0035023","regulation of Rho protein signal transduction","12/622","83/18614",1.93250613485641e-05,0.00052107816021791,0.000416769395348552,"10395/2149/2151/9002/2843/2828/57493/2846/8829/157285/54922/9754",12
"GO:0051930","GO:0051930","regulation of sensory perception of pain","8/622","36/18614",1.96419624299185e-05,0.000523317999025685,0.00041856086606612,"4856/1910/2149/90865/11343/58503/11280/7432",8
"GO:0051931","GO:0051931","regulation of sensory perception","8/622","36/18614",1.96419624299185e-05,0.000523317999025685,0.00041856086606612,"4856/1910/2149/90865/11343/58503/11280/7432",8
"GO:0060070","GO:0060070","canonical Wnt signaling pathway","26/622","313/18614",2.03387008019167e-05,0.000538674702895734,0.000430843484442969,"857/153090/85458/27123/1910/1958/2247/2308/2487/8322/2735/2931/3489/9314/4038/85407/8613/5071/27303/9037/64321/83595/92162/63923/7484/9839",26
"GO:2000146","GO:2000146","negative regulation of cell motility","30/622","390/18614",2.12931649805204e-05,0.000560636508545938,0.00044840900370743,"94/51378/347/482/56477/4856/4345/149461/7122/114757/153090/10395/54567/1843/2022/2247/3036/90865/182/9314/79772/4223/79812/4739/4804/5797/9353/6915/7075/63923",30
"GO:1905314","GO:1905314","semi-lunar valve development","9/622","47/18614",2.14461955122189e-05,0.000561363573758431,0.000448990525928325,"11096/54567/23462/182/4846/9353/6586/7048/7075",9
"GO:0007265","GO:0007265","Ras protein signal transduction","27/622","333/18614",2.17995041968895e-05,0.000567294074333009,0.000453733866423631,"150/83478/395/153090/10395/55715/220164/2149/2151/9002/2247/2843/2828/57493/3479/2846/4803/4804/8829/157285/54922/57381/58480/10252/10253/81848/9754",27
"GO:0032412","GO:0032412","regulation of monoatomic ion transmembrane transporter activity","24/622","278/18614",2.24925030221076e-05,0.000581944760271408,0.000465451796642458,"5243/10060/150/287/477/482/9478/781/845/857/1393/30845/2669/57520/3736/3788/54413/5311/5649/6327/6330/85358/54997/7225",24
"GO:0030534","GO:0030534","adult behavior","16/622","143/18614",2.39002792478231e-05,0.000614814079961243,0.000491741377627625,"26090/477/10752/1393/1949/3236/3235/163175/54413/9379/4909/80243/5071/285671/85358/6622",16
"GO:0010975","GO:0010975","regulation of neuron projection development","33/622","452/18614",2.41980262852918e-05,0.000615931606714977,0.000492635199293927,"482/153090/85458/26052/1948/1949/2042/8322/2670/2931/57520/3082/3397/57611/9314/4038/57689/4131/4803/4858/7025/8829/157285/5764/5649/8578/56920/9037/57556/10501/85358/9353/63923",33
"GO:0035909","GO:0035909","aorta morphogenesis","8/622","37/18614",2.43326648977775e-05,0.000615931606714977,0.000492635199293927,"94/54567/1948/2022/23462/182/6909/7048",8
"GO:0006939","GO:0006939","smooth muscle contraction","14/622","113/18614",2.43565447695601e-05,0.000615931606714977,0.000492635199293927,"150/477/10203/857/1908/1910/2149/3357/3363/4629/5021/11280/6909/6915",14
"GO:0060411","GO:0060411","cardiac septum morphogenesis","11/622","72/18614",2.51898489391418e-05,0.000629886948891612,0.000503796978782836,"187/2022/23462/182/4846/8829/9353/6586/6909/7048/7049",11
"GO:1900046","GO:1900046","regulation of hemostasis","11/622","72/18614",2.51898489391418e-05,0.000629886948891612,0.000503796978782836,"170692/857/947/2149/2152/4846/5154/5627/6915/7035/7056",11
"GO:0002685","GO:0002685","regulation of leukocyte migration","21/622","227/18614",2.6189097470936e-05,0.000651235557110609,0.000520872049699727,"347/56477/4856/4345/1843/1908/148823/90865/58494/83700/10894/4739/80310/5228/83483/5764/6403/9353/7060/7424/2277",21
"GO:0003179","GO:0003179","heart valve morphogenesis","10/622","60/18614",2.69614836936733e-05,0.000661756278241062,0.000529286746224978,"11096/8642/54567/23462/182/4846/9353/6586/7048/7075",10
"GO:0016049","GO:0016049","cell growth","35/622","495/18614",2.69959176207756e-05,0.000661756278241062,0.000529286746224978,"94/552/4856/978/123879/1908/10516/2487/2931/3373/3479/57611/26153/8425/4131/4487/4803/54413/4881/8829/57144/221476/5071/8643/56920/9037/57556/10501/9353/6586/8835/64321/8128/7048/63923",35
"GO:0048706","GO:0048706","embryonic skeletal system development","15/622","129/18614",2.70557191506064e-05,0.000661756278241062,0.000529286746224978,"92/60529/3199/3200/3201/3202/3203/3236/3232/3235/3373/5125/6913/7048/7484",15
"GO:0021700","GO:0021700","developmental maturation","26/622","319/18614",2.82016022050774e-05,0.000686034627553949,0.000548705086381398,"94/8854/22899/388552/1003/1028/153090/8642/1910/2034/3202/3479/3791/10365/163175/26468/4131/4774/5139/5649/6196/1901/8578/54345/6886/7704",26
"GO:0055123","GO:0055123","digestive system development","16/622","146/18614",3.09473863823339e-05,0.000748759467282847,0.00059887374729057,"8854/60529/1028/8642/1910/2735/2736/3202/3481/5021/5125/91461/64321/6909/7048/8626",16
"GO:0007178","GO:0007178","transmembrane receptor protein serine/threonine kinase signaling pathway","30/622","398/18614",3.12053096466983e-05,0.000749075676772689,0.000599126658366002,"92/94/84913/857/4856/1003/1028/7122/1958/2022/2353/2662/9573/64388/3397/54756/8516/3725/3791/8425/4487/63976/4093/10252/10253/7048/7049/7148/9839/23090",30
"GO:0086065","GO:0086065","cell communication involved in cardiac conduction","10/622","61/18614",3.12951634397884e-05,0.000749075676772689,0.000599126658366002,"287/477/482/775/8913/781/845/857/10052/6330",10
"GO:0007219","GO:0007219","Notch signaling pathway","18/622","179/18614",3.25265860898215e-05,0.000774173771002453,0.000619200647942087,"51378/4856/1004/65989/28514/54567/51162/23462/3232/182/4846/4855/83714/157285/6909/7048/8626/23090",18
"GO:0006874","GO:0006874","intracellular calcium ion homeostasis","25/622","303/18614",3.26896431455459e-05,0.000774173771002453,0.000619200647942087,"287/187/477/775/845/857/6358/64072/1003/1908/2149/9002/2247/7184/3357/286097/5311/6547/6622/284612/130733/7220/7222/7223/7225",25
"GO:0045216","GO:0045216","cell-cell junction organization","20/622","214/18614",3.50334744187017e-05,0.000825314902621624,0.000660104412731326,"287/187/857/1003/1004/5010/149461/7122/1366/1948/90952/2149/2701/10052/57493/83700/51599/5175/10266/79987",20
"GO:0007416","GO:0007416","synapse assembly","19/622","197/18614",3.54602323783377e-05,0.000830994765054657,0.000664647287510204,"22899/140689/26052/1948/1949/23768/145581/4038/94030/57633/54674/4131/54413/9379/5021/56131/85358/6622/8128",19
"GO:0072012","GO:0072012","glomerulus vasculature development","7/622","29/18614",3.69571717457159e-05,0.000861564066322002,0.000689097264841995,"358/947/1958/2828/80310/5175/7010",7
"GO:0050731","GO:0050731","positive regulation of peptidyl-tyrosine phosphorylation","18/622","181/18614",3.77249385381871e-05,0.00087490582848148,0.000699768289982953,"150/51378/5168/2252/2623/2690/3082/3479/3481/4038/4739/8829/5175/8613/5649/6997/7060/85480",18
"GO:0019233","GO:0019233","sensory perception of pain","13/622","103/18614",3.87535826518827e-05,0.000894129051287767,0.000715143432441958,"358/4856/1910/2149/90865/3736/11343/117194/58503/5179/11280/6863/7432",13
"GO:0060560","GO:0060560","developmental growth involved in morphogenesis","21/622","234/18614",4.10595434968789e-05,0.000942474444574512,0.000753811106250392,"1908/57611/4131/4803/85407/54413/8829/5071/1901/56920/9037/57556/10501/9353/6586/10252/10253/8128/6909/7048/63923",21
"GO:0050808","GO:0050808","synapse organization","33/622","466/18614",4.42905912526994e-05,0.00100814406316402,0.000806335063924754,"22899/140689/1004/153090/26052/1948/1949/2149/23768/256158/145581/4038/94030/57689/57633/54674/4131/4739/4774/54413/8829/9379/5021/56131/5098/23024/5649/85358/6547/6622/8404/8128/11346",33
"GO:0035136","GO:0035136","forelimb morphogenesis","8/622","40/18614",4.43709518416694e-05,0.00100814406316402,0.000806335063924754,"8854/60529/775/3236/3235/4487/8626/7704",8
"GO:0090257","GO:0090257","regulation of muscle system process","22/622","254/18614",4.65385060438988e-05,0.00105205228814389,0.000841453796147261,"150/287/477/775/10203/845/857/30845/2149/2308/2931/3479/3736/4846/3164/5021/221476/4660/6442/6547/6915/7222",22
"GO:0007156","GO:0007156","homophilic cell adhesion via plasma membrane adhesion molecules","17/622","168/18614",4.94089091984039e-05,0.00111123335185022,0.000888788069621043,"64072/1003/1004/8642/90952/2196/79633/256158/51294/54510/56131/56107/56099/5098/5175/5797/54538",17
"GO:0019932","GO:0019932","second-messenger-mediated signaling","24/622","292/18614",4.97084797009799e-05,0.00111123335185022,0.000888788069621043,"117/287/187/358/477/552/775/845/1908/1910/3357/3479/3791/79772/4846/4881/2494/5138/5139/27115/51655/10231/6403/6915",24
"GO:0086009","GO:0086009","membrane repolarization","9/622","52/18614",4.9901229607215e-05,0.00111123335185022,0.000888788069621043,"287/477/482/781/845/857/3764/6327/6330",9
"GO:0072006","GO:0072006","nephron development","16/622","152/18614",5.07497669729464e-05,0.00112453444045004,0.000899426563183901,"358/947/8642/28514/1910/1958/2247/2828/182/26249/80310/5175/5311/29927/7010/7484",16
"GO:0002027","GO:0002027","regulation of heart rate","13/622","106/18614",5.25818671067389e-05,0.00115370802534198,0.000922760216873162,"287/552/775/8913/781/845/857/1908/1910/2034/64091/6327/6330",13
"GO:1901890","GO:1901890","positive regulation of cell junction assembly","13/622","106/18614",5.25818671067389e-05,0.00115370802534198,0.000922760216873162,"857/149461/7122/23768/3791/94030/57633/54674/54413/8829/5021/8128/7010",13
"GO:0043405","GO:0043405","regulation of MAP kinase activity","18/622","186/18614",5.40841670174345e-05,0.00118088161741481,0.00094449423376788,"150/857/153090/1843/1908/2247/2321/8322/2690/3357/5154/80310/23328/10252/10253/81848/6997/7148",18
"GO:0061041","GO:0061041","regulation of wound healing","15/622","137/18614",5.49380579207826e-05,0.00119370265657001,0.000954748773574765,"170692/150/857/947/149461/2149/2152/2247/22915/4846/5154/5627/6915/7035/7056",15
